ru,en,vi,description
Алгоритм решения изобретательских задач (АРИЗ),Algorithm of Inventive Problem Solving (ARIZ),Algôrit giải các bài toán sáng chế (ARIZ),Phan Dũng dịch thuật ngữ TRIZ: https://rosetta.vn/triz/thuat-ngu-cua-triz/
Анализ вепольный (вепанализ),Substance-Field (Su-Field) analysis,Phân tích Vepol (Phân tích chất-trường),Phan Dũng dịch thuật ngữ TRIZ: https://rosetta.vn/triz/thuat-ngu-cua-triz/
Анти-система,Anti-system,Phản hệ,Phan Dũng dịch thuật ngữ TRIZ: https://rosetta.vn/triz/thuat-ngu-cua-triz/
Биологический эффект,Biological effect,Hiệu ứng sinh học,Phan Dũng dịch thuật ngữ TRIZ: https://rosetta.vn/triz/thuat-ngu-cua-triz/
Бисистема,Bi-system,Lưỡng hệ,Phan Dũng dịch thuật ngữ TRIZ: https://rosetta.vn/triz/thuat-ngu-cua-triz/
Большая Неожиданность,Great Surprise,Bất ngờ lớn,Phan Dũng dịch thuật ngữ TRIZ: https://rosetta.vn/triz/thuat-ngu-cua-triz/
Ведущая область техники,Leading field of technology,Lĩnh vực kỹ thuật chủ đạo,Phan Dũng dịch thuật ngữ TRIZ: https://rosetta.vn/triz/thuat-ngu-cua-triz/
Веполь,Su-Field,Vepol (mô hình chất-trường),Phan Dũng dịch thuật ngữ TRIZ: https://rosetta.vn/triz/thuat-ngu-cua-triz/
Вещественно-полевые ресурсы,Substance-Field resources,Các nguồn dự trữ chất-trường,Phan Dũng dịch thuật ngữ TRIZ: https://rosetta.vn/triz/thuat-ngu-cua-triz/
Вепольная формула,Su-Field formula,Công thức Vepol,Phan Dũng dịch thuật ngữ TRIZ: https://rosetta.vn/triz/thuat-ngu-cua-triz/
Вещество,Substance,Chất,Phan Dũng dịch thuật ngữ TRIZ: https://rosetta.vn/triz/thuat-ngu-cua-triz/
Внешние обстоятельства,External conditions,Các hoàn cảnh (điều kiện) bên ngoài,Phan Dũng dịch thuật ngữ TRIZ: https://rosetta.vn/triz/thuat-ngu-cua-triz/
Геометрический эффект,Geometrical effect,Hiệu ứng hình học,Phan Dũng dịch thuật ngữ TRIZ: https://rosetta.vn/triz/thuat-ngu-cua-triz/
Главный производственный процесс,Main manufacturing process,Quá trình sản xuất chính,Phan Dũng dịch thuật ngữ TRIZ: https://rosetta.vn/triz/thuat-ngu-cua-triz/
Графическое изображение веполя,Su-Field diagram,Sơ đồ biểu diễn Vepol,Phan Dũng dịch thuật ngữ TRIZ: https://rosetta.vn/triz/thuat-ngu-cua-triz/
Графическая схема технического противоречия (ТП), Diagram (model) of a system contradiction,Sơ đồ mâu thuẫn kỹ thuật (MK),Phan Dũng dịch thuật ngữ TRIZ: https://rosetta.vn/triz/thuat-ngu-cua-triz/
Достойная цель,Worthy goal,Mục đích xứng đáng,Phan Dũng dịch thuật ngữ TRIZ: https://rosetta.vn/triz/thuat-ngu-cua-triz/
Достройка веполя,Completion of a Su-Field,Dựng đủ Vepol,Phan Dũng dịch thuật ngữ TRIZ: https://rosetta.vn/triz/thuat-ngu-cua-triz/
Жизненная Стратегия Творческой Личности,Life Strategy of creative individual,Chiến Lược Sống Của Nhân Cách Sáng Tạo,Phan Dũng dịch thuật ngữ TRIZ: https://rosetta.vn/triz/thuat-ngu-cua-triz/
Задача-аналог,Analogous problem,Bài toán tương tự,Phan Dũng dịch thuật ngữ TRIZ: https://rosetta.vn/triz/thuat-ngu-cua-triz/
Задача изобретательская,Inventive problem,Bài toán sáng chế,Phan Dũng dịch thuật ngữ TRIZ: https://rosetta.vn/triz/thuat-ngu-cua-triz/
Задача инженерная,Engineering problem,Bài toán kỹ thuật (của kỹ sư),Phan Dũng dịch thuật ngữ TRIZ: https://rosetta.vn/triz/thuat-ngu-cua-triz/
Задача максимальная (макси-задача),Maximal-problem (Maxi-problem),Bài toán cực đại (Bài toán maxi),Phan Dũng dịch thuật ngữ TRIZ: https://rosetta.vn/triz/thuat-ngu-cua-triz/
Задача микро,Micro-problem,Bài toán vi mô,Phan Dũng dịch thuật ngữ TRIZ: https://rosetta.vn/triz/thuat-ngu-cua-triz/
Задача минимальная (мини-задача),Mini-problem,Bài toán cực tiểu (Bài toán mini),Phan Dũng dịch thuật ngữ TRIZ: https://rosetta.vn/triz/thuat-ngu-cua-triz/
Задачи нетиповые / нестандартные,Non-routine problems,Các bài toán không chuẩn,Phan Dũng dịch thuật ngữ TRIZ: https://rosetta.vn/triz/thuat-ngu-cua-triz/
Задачи типовые / стандартные,Standard problems,Các bài toán chuẩn,Phan Dũng dịch thuật ngữ TRIZ: https://rosetta.vn/triz/thuat-ngu-cua-triz/
Законы развития технических систем:,Laws of Technical System Evolution,Các quy luật phát triển của các hệ thống kỹ thuật,Phan Dũng dịch thuật ngữ TRIZ: https://rosetta.vn/triz/thuat-ngu-cua-triz/
Закон полноты частей системы,Law of system completeness,Quy luật về tính đầy đủ các phần của hệ thống,Phan Dũng dịch thuật ngữ TRIZ: https://rosetta.vn/triz/thuat-ngu-cua-triz/
Закон “энергетической проводимости” системы,Law of “energy conductivity”,Quy luật về tính thông suốt năng lượng của hệ thống,Phan Dũng dịch thuật ngữ TRIZ: https://rosetta.vn/triz/thuat-ngu-cua-triz/
Закон согласования ритмики частей системы,Law of coordination (harmonization) of rhythms,Quy luật tương hợp về nhịp điệu các phần của hệ thống,Phan Dũng dịch thuật ngữ TRIZ: https://rosetta.vn/triz/thuat-ngu-cua-triz/
Закон увеличения степени идеальности системы,Law of increasing degree ofsystemideality,Quy luật về tăng mức độ lý tưởng của hệ thống,Phan Dũng dịch thuật ngữ TRIZ: https://rosetta.vn/triz/thuat-ngu-cua-triz/
Закон неравномерности развития частей системы,Law of non-uniform evolution of sub-systems,Quy luật về tính không đồng đều trong sự phát triển các phần của hệ thống,Phan Dũng dịch thuật ngữ TRIZ: https://rosetta.vn/triz/thuat-ngu-cua-triz/
Закон перехода в надсистему,Law of transition to a super-system (higher-level system),Quy luật chuyển sang hệ trên,Phan Dũng dịch thuật ngữ TRIZ: https://rosetta.vn/triz/thuat-ngu-cua-triz/
Закон перехода с макроуровня на микроуровень,Law of transition to a micro-level,Quy luật chuyển từ mức vĩ mô sang mức vi mô,Phan Dũng dịch thuật ngữ TRIZ: https://rosetta.vn/triz/thuat-ngu-cua-triz/
Закон увеличения степени вепольности,Law of increasing Su-Field interactions,Quy luật về tăng mức Vepol,Phan Dũng dịch thuật ngữ TRIZ: https://rosetta.vn/triz/thuat-ngu-cua-triz/
Закон S-образного развития,Law of evolution along the S-curve,Quy luật phát triển chữ S,Phan Dũng dịch thuật ngữ TRIZ: https://rosetta.vn/triz/thuat-ngu-cua-triz/
Идеальный конечный результат (ИКР),Ideal End Result (IER),Kết quả lý tưởng cuối cùng (KLC),Phan Dũng dịch thuật ngữ TRIZ: https://rosetta.vn/triz/thuat-ngu-cua-triz/
Изделие,Object,Sản phẩm,Phan Dũng dịch thuật ngữ TRIZ: https://rosetta.vn/triz/thuat-ngu-cua-triz/
Икс-элемент,X-element,Yếu tố X,Phan Dũng dịch thuật ngữ TRIZ: https://rosetta.vn/triz/thuat-ngu-cua-triz/
Инерция мышления, Psychological inertia,Tính ì tư duy (tính ì tâm lý),Phan Dũng dịch thuật ngữ TRIZ: https://rosetta.vn/triz/thuat-ngu-cua-triz/
Инструмент,Tool,Công cụ,Phan Dũng dịch thuật ngữ TRIZ: https://rosetta.vn/triz/thuat-ngu-cua-triz/
Качества Творческой Личности,Qualities of a creative individual,Các Phẩm Chất Của Nhân Cách Sáng Tạo,Phan Dũng dịch thuật ngữ TRIZ: https://rosetta.vn/triz/thuat-ngu-cua-triz/
Конфликты типовые,"Typical system conflicts (engineering contradictions, technical contradictions)",Các xung đột mẫu (chuẩn),Phan Dũng dịch thuật ngữ TRIZ: https://rosetta.vn/triz/thuat-ngu-cua-triz/
Конфликтующая пара,Conflicting pair,Đôi xung đột,Phan Dũng dịch thuật ngữ TRIZ: https://rosetta.vn/triz/thuat-ngu-cua-triz/
Концепция максимального движения вверх,Concept of vertical mobility,Quan niệm chuyển động tối đa về phía trên,Phan Dũng dịch thuật ngữ TRIZ: https://rosetta.vn/triz/thuat-ngu-cua-triz/
Машина идеальная,Ideal machine,Máy lý tưởng,Phan Dũng dịch thuật ngữ TRIZ: https://rosetta.vn/triz/thuat-ngu-cua-triz/
Метод моделирования маленькими человечками,Modeling with “smart little people”,Phương pháp mô hình hóa bằng những người tý hon,Phan Dũng dịch thuật ngữ TRIZ: https://rosetta.vn/triz/thuat-ngu-cua-triz/
Модель изобретательской задачи,Model of an inventive problem,Mô hình bài toán sáng chế,Phan Dũng dịch thuật ngữ TRIZ: https://rosetta.vn/triz/thuat-ngu-cua-triz/
Моносистема,Mono-system,Hệ đơn,Phan Dũng dịch thuật ngữ TRIZ: https://rosetta.vn/triz/thuat-ngu-cua-triz/
Многоэкранная схема,Multi-screen diagram,Sơ đồ đa màn hình,Phan Dũng dịch thuật ngữ TRIZ: https://rosetta.vn/triz/thuat-ngu-cua-triz/
Неалгоритмические методы,Non-algorithmic methods,Các phương pháp phi algôrit,Phan Dũng dịch thuật ngữ TRIZ: https://rosetta.vn/triz/thuat-ngu-cua-triz/
Обострение противоречия,Intensification of contradiction,Làm tăng mức độ mâu thuẫn,Phan Dũng dịch thuật ngữ TRIZ: https://rosetta.vn/triz/thuat-ngu-cua-triz/
Оперативное время,Operation time,Thời gian hành động,Phan Dũng dịch thuật ngữ TRIZ: https://rosetta.vn/triz/thuat-ngu-cua-triz/
Оперативная зона,Operational zone,Vùng hành động,Phan Dũng dịch thuật ngữ TRIZ: https://rosetta.vn/triz/thuat-ngu-cua-triz/
Оператор РВС,“Size-Time-Cost” Technique,Toán tử Kích thước-Thời gian-Giá thành (KTG),Phan Dũng dịch thuật ngữ TRIZ: https://rosetta.vn/triz/thuat-ngu-cua-triz/
Оператор системный,System Analysis Technique,Toán tử hệ thống,Phan Dũng dịch thuật ngữ TRIZ: https://rosetta.vn/triz/thuat-ngu-cua-triz/
Оценка разработок по ТРИЗ,Evaluation of TRIZ developments,Đánh giá những triển khai về TRIZ,Phan Dũng dịch thuật ngữ TRIZ: https://rosetta.vn/triz/thuat-ngu-cua-triz/
Поле,Field,Trường,Phan Dũng dịch thuật ngữ TRIZ: https://rosetta.vn/triz/thuat-ngu-cua-triz/
Полисистема,Poly-system,Đa hệ,Phan Dũng dịch thuật ngữ TRIZ: https://rosetta.vn/triz/thuat-ngu-cua-triz/
Прием,Inventive principle,Thủ thuật,Phan Dũng dịch thuật ngữ TRIZ: https://rosetta.vn/triz/thuat-ngu-cua-triz/
Прием на макроуровне,Inventive principle used on a macro-level,Thủ thuật ở mức vĩ mô,Phan Dũng dịch thuật ngữ TRIZ: https://rosetta.vn/triz/thuat-ngu-cua-triz/
Прием на микроуровне,Inventive principle used on a micro-level,Thủ thuật ở mức vi mô,Phan Dũng dịch thuật ngữ TRIZ: https://rosetta.vn/triz/thuat-ngu-cua-triz/
Постановка задачи,Problem statement,Đặt bài toán,Phan Dũng dịch thuật ngữ TRIZ: https://rosetta.vn/triz/thuat-ngu-cua-triz/
Прогноз,"Forecast, prediction",Dự báo,Phan Dũng dịch thuật ngữ TRIZ: https://rosetta.vn/triz/thuat-ngu-cua-triz/
Противоречия (виды):,Contradictions (types):,(Các loại) mâu thuẫn,Phan Dũng dịch thuật ngữ TRIZ: https://rosetta.vn/triz/thuat-ngu-cua-triz/
Противоречие административное,Administrative contradiction,Mâu thuẫn hành chính,Phan Dũng dịch thuật ngữ TRIZ: https://rosetta.vn/triz/thuat-ngu-cua-triz/
Противоречие техническое,Technical contradiction,Mâu thuẫn kỹ thuật,Phan Dũng dịch thuật ngữ TRIZ: https://rosetta.vn/triz/thuat-ngu-cua-triz/
Противоречие физическое,Physical contradiction,Mâu thuẫn vật lý,Phan Dũng dịch thuật ngữ TRIZ: https://rosetta.vn/triz/thuat-ngu-cua-triz/
Пустота,Void,Trống rỗng,Phan Dũng dịch thuật ngữ TRIZ: https://rosetta.vn/triz/thuat-ngu-cua-triz/
Развитие Творческого Воображения,Development of creative imagination,Sự Phát Triển Trí Tưởng Tượng Sáng Tạo,Phan Dũng dịch thuật ngữ TRIZ: https://rosetta.vn/triz/thuat-ngu-cua-triz/
Разрешение противоречия,Conflict (contradiction) resolution,Giải quyết mâu thuẫn,Phan Dũng dịch thuật ngữ TRIZ: https://rosetta.vn/triz/thuat-ngu-cua-triz/
Разрушение веполя, Su-Field breakup,Phá Vepol,Phan Dũng dịch thuật ngữ TRIZ: https://rosetta.vn/triz/thuat-ngu-cua-triz/
Регистр НФ-идей, A list of science fiction ideas,Danh sách các ý tưởng khoa học viễn tưởng,Phan Dũng dịch thuật ngữ TRIZ: https://rosetta.vn/triz/thuat-ngu-cua-triz/
Ресурсы,Resources,Các nguồn dự trữ,Phan Dũng dịch thuật ngữ TRIZ: https://rosetta.vn/triz/thuat-ngu-cua-triz/
Сводная картотека,Composite card index,Tủ phiếu thông tin tổng quát,Phan Dũng dịch thuật ngữ TRIZ: https://rosetta.vn/triz/thuat-ngu-cua-triz/
Система техническая,Technical system,Hệ kỹ thuật,Phan Dũng dịch thuật ngữ TRIZ: https://rosetta.vn/triz/thuat-ngu-cua-triz/
